ISO_country,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
IDN,,,,,,,,,,,,6.5,,,,,1.5,1.5,,,5.1,,,11.2,,,12.3,,,11.5,,
IND,,,,,,,,,,2.9,,,,5.9,,2.9,,,,,,,1.9,,,,,,,,,
IRN,,,,,,,,,,,,5.5,,,6.9,,,,,,,,,,,,,,,,,
IRQ,,,,,,,,,,,,,,,,,5.5,,,,,,15.0,,,,,11.8,,,,
JAM,,,,,,,,,4.4,9.3,6.2,5.2,3.8,5.5,5.2,5.9,7.3,5.7,8.5,,7.5,,6.1,8.5,6.1,,4.0,,7.8,,,
JOR,,,,,,,8.6,,,,,,,4.4,,,,,4.7,,,,,,,6.6,,,4.7,,,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,
KAZ,,,,,,,,,,,,4.1,,,,5.3,,,,,,,16.9,,,,13.3,,,,,
KEN,,,,,,,,,,5.9,,,,,5.8,,8.1,,,5.8,,,,,,5.0,,,,,4.1,
KGZ,,,,,,,,,,,,,,8.1,,,,,,,,,10.7,,,4.4,,,9.0,,7.0,
KHM,,,,,,,,,,,,,6.5,,,,4.0,,,,,1.7,,,2.0,,1.9,,,,2.0,
KIR,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,7.3,,,,,
KWT,,,,,,,,,,,,,8.9,,,,,11.0,6.6,6.8,7.1,7.5,8.7,8.5,9.3,9.0,7.8,8.3,9.5,7.8,8.7,
LAO,,,,,,,,,,,,,,,,,2.7,,,,,,1.3,,,,,2.0,,,,
LBN,,,,,,,,,,,,,20.8,,,,,,,,16.7,,,,,,,,,,,
LBR,,,,,,,,,,,,,,,,,4.6,,,,,,,4.2,,,,,,3.2,,
LBY,,,,,,,,,,,,13.4,,,,,,,,,,,,22.4,,,,,,,,
LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,
LKA,,,,0.3,,,,,,,,,,,,,1.0,,,,,,,1.6,,0.8,,,0.6,,,
